iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
GAB,Gabon,528080880.6799074,580225994.4460944,23.08802189604682,19.95136624543952,60.31093597000002,59.86871973666667,9.874455916497082,-3.136655650607299,-0.4422162333333475
GBR,United Kingdom of Great Britain and Northern Ireland,328047898646.1487,372080926867.45636,16.036819700245914,13.271329716764377,79.73165130999999,83.31011963,13.422743569774923,-2.7654899834815367,3.578468320000013
GEO,Georgia,1814259366.66601,2408180031.0966935,56.998372423160795,54.553493779794366,36.80368423,39.553783419999995,32.73626005977896,-2.4448786433664296,2.750099189999993
GHA,Ghana,2318466710.370764,2983046471.3407598,28.97685078655046,25.093658620205318,60.59480667,55.61648432333333,28.664623822169006,-3.883192166345143,-4.9783223466666655
GIN,Guinea,774597153.245648,795663913.5527413,59.215427862221134,54.91363506484997,22.52398682,19.086364743333334,2.71970536153163,-4.301792797371164,-3.437622076666667
GMB,Gambia,64522044.25130349,81725352.77665165,20.29882369396628,27.303743653404684,40.93360901,42.199483236666666,26.662683622273203,7.0049199594384035,1.2658742266666678
GNB,Guinea-Bissau,120781490.28113736,155367607.90349707,69.62321254856207,61.30525288659138,6.42007589,13.12171014,28.63527974514575,-8.317959661970683,6.70163425
GNQ,Equatorial Guinea,430073208.7288487,424516574.40349716,73.7735039488178,67.39358623631942,24.54846001,30.35623995666667,-1.2920205705849646,-6.379917712498383,5.80777994666667
GRC,Greece,18513068100.7049,19952256759.854828,33.642736335472605,33.43428312935505,48.77410126000001,55.894753773333335,7.773906795573938,-0.2084532061175537,7.120652513333326
GRD,Grenada,64373447.35415621,61724747.11533614,54.42095676894138,52.60976265834577,41.39058304,41.388963063333335,-4.11458504660782,-1.8111941105956078,-0.0016199766666673554
GTM,Guatemala,5634490031.168998,6714777288.709393,55.989178788268376,58.31572892203354,38.4250946,36.321384433333336,19.172760117853393,2.326550133765167,-2.1037101666666658
GUY,Guyana,220410019.98580435,341837010.59808755,35.02374497310836,25.133409602671144,59.22204971000001,70.52618408333333,55.091411279806515,-9.890335370437214,11.304134373333326
HND,Honduras,2285158863.573423,2759016278.567731,52.326352671749554,51.36056947012046,39.44809341000001,38.272755939999996,20.73630076874884,-0.9657832016290939,-1.1753374700000165
HRV,Croatia,5004263329.202037,5769862520.20051,11.4647584308415,9.678956262509171,81.54315947999999,83.44713592333333,15.298938937343113,-1.785802168332328,1.9039764433333488
HTI,Haiti,847329356.7224649,725692508.7610632,39.03829003784893,46.38983429509245,10.418021199999998,11.638285320000001,-14.355320867425434,7.351544257243518,1.220264120000003
