iso3_code,continent,y_2023,y_2000,log_start,log_end,growth
NZL,Oceania,4971.138551808019,2560.3400764828175,7.847895371026942,8.51140417772557,0.028848208986896873
NIC,Americas,216.55238245954726,89.25684091903456,4.491518066675136,5.377832469491352,0.03853540881809637
NER,Africa,26.013015206955828,20.956039796341837,3.042426900587014,3.2585969976535836,0.00939869987245954
NGA,Africa,66.82009279326026,27.939122461559116,3.330027945374198,4.202003825632529,0.037911994793840484
MKD,Europe,640.811138085291,392.989063413102,5.973781783016653,6.462734777134445,0.021258825831208344
NOR,Europe,8250.336282299011,5804.61101612231,8.666407883466897,9.018009239988789,0.015287015500951809
OMN,Asia,732.0409352712956,628.4522172439305,6.443259998479716,6.595836434899477,0.006633758105206983
PAK,Asia,30.486083839238415,19.56082660708812,2.9735289237898193,3.4172703119256935,0.019293103831994535
PLW,Oceania,1683.8932774863201,1258.1074099214015,7.137363815111143,7.42886381837973,0.012673913185590751
PAN,Americas,1557.812859896666,558.6114964817208,6.325454234183147,7.351038103617178,0.0445906030188709
PNG,Oceania,85.15020972024453,47.5159487605,3.861065418063634,4.444416870056275,0.025363106608375718
PRY,Americas,526.5099020539297,239.55804847813476,5.478795761087136,6.266270138717079,0.034238016418693167
PER,Americas,445.52668156922937,174.43784680018362,5.161568499400239,6.099257136406407,0.040769071174181194
PHL,Asia,194.0548481413112,55.65774788509803,4.01922129327946,5.268140841482781,0.05430084992188351
POL,Europe,1580.836957048853,495.7183170507702,6.206007856231599,7.365709705420258,0.050421819529941694
PRT,Europe,2746.1895616750157,1987.1335805175743,7.594448467527988,7.917969615873587,0.014066136884591273
QAT,Asia,2023.815699817879,1267.5053495783563,7.144805956031072,7.612739968859145,0.02034495707948145
KOR,Asia,3045.9993656486035,647.3071114955341,6.472820851889282,8.021584325197896,0.06733754231776581
MDA,Europe,458.01902006919045,144.87150479073995,4.97584717567943,6.126910711787249,0.050046240700339965
ROU,Europe,1050.6383970682514,285.46324357527783,5.654113276763278,6.957153255604008,0.056653912123510015
RUS,Europe,1014.5935091339462,359.06232149122224,5.883495970890568,6.922243327649033,0.04516292855471588
RWA,Africa,52.656308601374754,12.188596645089879,2.500500813411486,3.963786052890563,0.06362109736865552
KNA,Americas,1294.8838675259374,693.4485093493852,6.541676989484899,7.166176292526214,0.02715214361049195
